sheet,row_index,codigo,nome_cientifico,nome_popular,filo,classe,ordem,familia,genero,especie,localizacao,data_coleta,origem,coletor,taxonomia_id,localidade_id,especie_id,status,error,action
FRUTOS,1,FR.1,Punica granatum,Romã,Antophyta,Magnoliopsida,Myrtales,Lythraceae,,Punica granatum L.,"R. Emilia Magalhaes, Conego Marinho - MG",,Cultivada,Lairton,,,,,,
FRUTOS,2,FR.2,Bixa orellana,Urucum,Antophyta,Magnoliopsida,Malvales,Bixaceae,,Bixa orellana L.,"R. Emilia Magalhaes, Conego Marinho - MG",,Nativa,Adriele,,,,,,
FRUTOS,3,FR.3,Hymeneas courbaril,Jatobá,Antophyta,Magnoliopsida,Fabales,Fabaceae,,Hymenaea courbaril L.,Juvenilha - MG,,Nativa,Camila Lopo,,,,,,
FRUTOS,4,FR.4,Gossypium hirsutum,Algodoeiro,Antophyta,Magnoliopsida,Malvales,Malvaceae,,Gossypium hirsutum,Januária - MG,,Naturalizada,Hellem,,,,,,
FRUTOS,5,FR.5,Copaifera langsdorffii,Copaiba,Antophyta,Magnoliopsida,Fabales,Fabaceae,,Copaifera langsdorffii,Bonito de Minas - MG,,Nativa,Arthur Ferreira,,,,,,
FRUTOS,6,FR.6,Allagoptera arenaria,Guriri,Antophyta,Magnoliopsida,Arecales,Arecaceae,,Allagoptera arenaria,Zona rural de Januária - MG,,Nativa,Vitória Alves Sales,,,,,,
FRUTOS,7,FR.7,Senna rugosa,Casiruba,Antophyta,Magnoliopsida,Fabales,Fabaceae,,Senna rugosa,Bonito de Minas - MG,,Nativa,Camila Lopo,,,,,,
FRUTOS,8,FR.8,Caryocar brasiliense,Pequi,Antophyta,Magnoliopsida,Malpighiales,Caryocaraceae,,Caryocar brasiliense,Bonito de Minas - MG,,Nativa,Camila Lopo,,,,,,
FRUTOS,9,FR.9,Duguetia furfuraceae,Pinha-do-guara,Antophyta,Magnoliopsida,Magnoliales,Annonaceae,,Duguetia furfuracea,Zona rural de Januária - MG,,Nativa,Vitória Alves Sales,,,,,,
FRUTOS,10,FR.10,Psidium guajara,Goiaba,Antophyta,Magnoliopsida,Myrtales,Myrtaceae,,Psidium guajara L,"R. Asterio F. Chaves, 33 - Januaria MG",,Naturalizada,Caroline,,,,,,
FRUTOS,11,FR.11,Malpighia emarginata,Acerola,Antophyta,Magnoliopsida,Malpighiales,Malpighiaceae,,Malpighia emarginata,"R. Asterio F. Chaves, 33 - Januaria MG",,Cultivada,Caroline,,,,,,
FRUTOS,12,FR.12,Sapindus saponaria,Saboneteira,Antophyta,Magnoliopsida,Sapindales,Sapindaceae,,Sapindus saponaria,IFNMG - Campus Januária,,Nativa,Higor Amauri,,,,,,
FRUTOS,13,FR.13,Magonia pubescens,Tingiubola,Antophyta,Magnoliopsida,Sapindales,Sapindaceae,,Magonia pubescens,Bonito de Minas - MG,,Nativa,Camila Lopo,,,,,,
FRUTOS,14,FR.14,Passiflora cincinnata,Maracujá-do-mato,Antophyta,Magnoliopsida,Malpighiales,Passifloraceae,,Passiflora cincinnata,IFNMG - Campus Januária,,Nativa,Camila Lopo,,,,,,
FRUTOS,15,FR.15,Citrus Limomum,Limão,Antophyta,Magnoliopsida,Sapindales,Rutaceae,,Citrus Limonum,Itacarambi - MG,,Cultivada,Lucas Monteiro,,,,,,
FRUTOS,16,FR.16,Annona squamosa,Pinha,Antophyta,Magnoliopsida,Magnoliales,Annonaceae,,Annona squamosa,"R. Emilia Magalhaes, Conego Marinho - MG",,Cultivada,Adriele,,,,,,
FRUTOS,17,FR.17,Annona squamosa,Pinha,Antophyta,Magnoliopsida,Magnoliales,Annonaceae,,Annona squamosa,IFNMG - Campus Januária,,Cultivada,Camila Lopo,,,,,,
FRUTOS,18,FR.18,Enterolobium contortisiliquun,Tamboril,Antophyta,Magnoliopsida,Fabales,Fabaceae,,Enterolobium contortisiliquun,Desconhecido,,Nativa,Desconhecido,,,,,,
FRUTOS,19,FR.19,Bidens pilosa var. minor,Picão Preto,Antophyta,Magnoliopsida,Asterales,Asteraceae,,Bidens pilosa var. minor,Desconhecido,,Nativa,Desconhecido,,,,,,
FRUTOS,20,FR.20,Triplaris americana,Pau Formiga,Antophyta,Magnoliopsida,Caryophyllales,Polygonaceae,,Triplaris americana,Desconhecido,,Nativa,Desconhecido,,,,,,
FRUTOS,21,FR. 21,Zea mays,Milho,Antophyta,Magnoliopsida,Poales,Poaceae,,Zea mays L,Desconhecido,,Cultivada,Desconhecido,,,,,,
FRUTOS,22,FR.22,Helianthus annus,Girassol,Antophyta,Magnoliopsida,Asterales,Asteraceae,,Helianthus annus L,Desconhecido,,Cultivada,Desconhecido,,,,,,
FRUTOS,23,FR.23,Tipuana tipu,Tipuana,Antophyta,Magnoliopsida,Fabales,Fabaceae,,Tipuana tipu (Benth.) Kuntze,Desconhecido,,Cultivada,Desconhecido,,,,,,
FRUTOS,24,FR.24,Triplaris americana L.,Pau Formiga,Antophyta,Magnoliopsida,Caryophyllales,Polygonaceae,,Triplaris americana L.,Desconhecido,,Nativa,Desconhecido,,,,,,
FRUTOS,25,FR.25,Tipuana tipu,Tipuana,Antophyta,Magnoliopsida,Fabales,Fabaceae,,Tipuana tipu (Benth.) Kuntze,Desconhecido,,Cultivada,Desconhecido,,,,,,
FRUTOS,26,FR.26,Cedrela fissilis,Cedro Vermelho,Antophyta,Magnoliopsida,Sapindales,Meliaceae,,Cedrela fissilis,Desconhecido,,Nativa,Desconhecido,,,,,,
FRUTOS,27,FR.27,Anacardium occidentale L.,Caju,Antophyta,Magnoliopsida,Sapindales,Anacardiaceae,,Anacardium occidentale L.,Desconhecido,,Nativa,Desconhecido,,,,,,
FRUTOS,28,FR.28,Handroanthus albuns,Ipê - amarelo,Antophyta,Magnoliopsida,Lamiales,Bignoniaceae,,Handroanthus albus (Cham.) Mattos,Desconhecido,,Nativa,Desconhecido,,,,,,
FRUTOS,29,FR.29,Arachis hypogaea L.,Amendoim,Antophyta,Magnoliopsida,Fabales,Fabaceae,,Arachis hypogaea L.,Desconhecido,,Naturalizada,Desconhecido,,,,,,
FRUTOS,30,FR.30,Bixa orellana,Urucum,Antophyta,Magnoliopsida,Malvales,Bixaceae,,Bixa orellana L.,Desconhecido,,Nativa,Desconhecido,,,,,,
FRUTOS,31,FR.31,Senna siamea,Jucá,Antophyta,Magnoliopsida,Fabales,Fabaceae,,Senna siamea (Lam.),Desconhecido,,Nativa,Desconhecido,,,,,,
FRUTOS,32,FR.32,Asclepias curassavica L.,Pepino de Seda,Antophyta,Magnoliopsida,Gentianales,Apocynaceae,,Asclepias curassavica L.,Desconhecido,,Nativa,Desconhecido,,,,,,
FRUTOS,33,FR.33,Schizolobium parahyba,Guapuruvu,Antophyta,Magnoliopsida,Fabales,Fabaceae,,Schizolobium parahyba (Vell.),Desconhecido,,Nativa,Desconhecido,,,,,,
FRUTOS,34,FR.34,Hymenaea courbaril,Jatobá,Antophyta,Magnoliopsida,Fabales,Fabaceae,,Hymenaea courbaril var. stilbocarpa,Desconhecido,,Nativa,Desconhecido,,,,,,
FRUTOS,35,FR.35,Tipuana tipu,Tipuana,Antophyta,Magnoliopsida,Fabales,Fabaceae,,Tipuana tipu,Desconhecido,,Nativa,Desconhecido,,,,,,
FRUTOS,36,FR.36,Cedrela odorata L.,Cedro Cheiroso,Antophyta,Magnoliopsida,Sapindales,Meliaceae,,Cedrela odorata L.,Desconhecido,,Nativa,Desconhecido,,,,,,
FRUTOS,37,FR.37,Helianthus annus,Girassol,Antophyta,Magnoliopsida,Asterales,Asteraceae,,Helianthus annuus L,Desconhecido,,Cultivada,Desconhecido,,,,,,
FRUTOS,38,FR.38,Albizia julibrissin,Albizía,Antophyta,Magnoliopsida,Fabales,Fabaceae,,Albizia julibrissin Durazz.,Desconhecido,,Cultivada,Desconhecido,,,,,,
FRUTOS,39,FR.39,Ricinus communis,Mamoma,Antophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,,Ricinus communis L,Desconhecido,,Naturalizada,Desconhecido,,,,,,
FRUTOS,40,FR.40,Bixa orellana,Urucum,Antophyta,Magnoliopsida,Malvales,Bixaceae,,Bixa orellana L.,Desconhecido,,Nativa,Desconhecido,,,,,,
FRUTOS,41,FR.41,Morus nigra,Amora,Antophyta,Magnoliopsida,Rosales,Moraceae,,Morus nigra L,Desconhecido,,Cultivada,Desconhecido,,,,,,
FRUTOS,42,FR.42,Cucurbita pepo,Abobora,Antophyta,Magnoliopsida,Curcubitales,Cucurbitaceae,,Cucurbita pepo L,Desconhecido,,Cultivada,Desconhecido,,,,,,
FRUTOS,43,FR.43,Malus domestica,Maça,Antophyta,Magnoliopsida,Rosales,Rosaceae,,Malus domestica Borkh.,Desconhecido,,Cultivada,Desconhecido,,,,,,
FRUTOS,44,FR.44,Ananas comosus,Abacaxi,Antophyta,Liliopsida,Poales,Bromeliaceae,,Ananas comosus,Desconhecido,,Nativa,Desconhecido,,,,,,
FRUTOS,45,FR.45,Ricinus communis,Mamoma,Antophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,,Ricinus communis,Desconhecido,,Nativa,"Flávia, Juliana, Sara",,,,,,
FRUTOS,46,FR. 46,Annona squamosa,Pinha,Antophyta,Magnoliopsida,Magnoliales,Annonaceae,,Annona squamosa,Desconhecido,,Cultivada,Desconhecido,,,,,,
